4-aminobutyrate degradation	4-aminobutyrate aminotransferase	2.6.1.19	UGA1	
4-aminobutyrate degradation	Succinate-semialdehyde dehydrogenase	1.2.1.24		
4-aminobutyrate degradation	Succinate-semialdehyde dehydrogenase (NAD(P)+)	1.2.1.16	UGA2	
acetate utilization	Acetate--CoA ligase	6.2.1.1	ACS1	
acetate utilization	Acetate--CoA ligase	6.2.1.1	ACS2	
acrylonitrile degradation	Aliphatic nitrilase	3.5.5.7		
acrylonitrile degradation	Amidase	3.5.1.4	AMD2	
acrylonitrile degradation	Nitrile hydratase	4.2.1.84		
aerobic glycerol catabolism	Glyceraldehyde 3-phosphate dehydrogenase (phosphorylating)	1.2.1.12	TDH1	
aerobic glycerol catabolism	Glyceraldehyde 3-phosphate dehydrogenase (phosphorylating)	1.2.1.12	TDH2	
aerobic glycerol catabolism	Glyceraldehyde 3-phosphate dehydrogenase (phosphorylating)	1.2.1.12	TDH3	
aerobic glycerol catabolism	Glycerol kinase	2.7.1.30	GUT1	
aerobic glycerol catabolism	Glycerol-3-phosphate dehydrogenase	1.1.99.5	GUT2	
aerobic glycerol catabolism	Glycerol-3-phosphate dehydrogenase (NAD+)	1.1.1.8	GPD1	
aerobic glycerol catabolism	Glycerol-3-phosphate dehydrogenase (NAD+)	1.1.1.8	GPD2	
aerobic glycerol catabolism	Phosphoglycerate kinase	2.7.2.3	PGK1	
aerobic glycerol catabolism	Phosphoglycerate mutase	5.4.2.1	GPM1	
aerobic glycerol catabolism	Phosphopyruvate hydratase	4.2.1.11	ENO1	
aerobic glycerol catabolism	Phosphopyruvate hydratase	4.2.1.11	ENO2	
aerobic glycerol catabolism	Pyruvate kinase	2.7.1.40	CDC19	
aerobic glycerol catabolism	Pyruvate kinase	2.7.1.40	PYK2	
aerobic glycerol catabolism	Triosephosphate isomerase	5.3.1.1	TPI1	
aerobic respiration, electron donors reaction list	Glycerol-3-phosphate dehydrogenase	1.1.99.5	GUT2	
aerobic respiration, electron donors reaction list	Hydrogenase	1.18.99.1		
aerobic respiration, electron donors reaction list	lactate oxidation			
aerobic respiration, electron donors reaction list	Succinate dehydrogenase (ubiquinone)	1.3.5.1	YJL045W	
alanine biosynthesis	Alanine aminotransferase	2.6.1.2	YLR089C	
alanine degradation	Alanine aminotransferase	2.6.1.2	YLR089C	
aldoxime metabolism		4.2.1.-		
aldoxime metabolism	Amidase	3.5.1.4	AMD2	
aldoxime metabolism	Nitrile hydratase	4.2.1.84		
allantoin degradation	Allantoicase	3.5.3.4	DAL2	PMID:6105114|SGD_REF:S000042072|SGD_REF:S000075551
allantoin degradation	Allantoinase	3.5.2.5	DAL1	PMID:6105114|SGD_REF:S000042072|SGD_REF:S000075551
allantoin degradation	Allophanate hydrolase	3.5.1.54	DUR1,2	PMID:6105114|SGD_REF:S000042072|SGD_REF:S000075551
allantoin degradation	Urea carboxylase	6.3.4.6	DUR1,2	PMID:6105114|SGD_REF:S000042072|SGD_REF:S000075551
allantoin degradation	Ureidoglycolate lyase	4.3.2.3	DAL3	PMID:6105114|SGD_REF:S000042072|SGD_REF:S000075551
anaerobic respiration, electron donors reaction list	Formate dehydrogenase	1.2.1.2	FDH1	
anaerobic respiration, electron donors reaction list	Glycerol-3-phosphate dehydrogenase	1.1.99.5	GUT2	
anaerobic respiration, electron donors reaction list	Hydrogenase	1.18.99.1		
anaerobic respiration, electron donors reaction list	lactate oxidation			
arginine biosynthesis	Argininosuccinate lyase	4.3.2.1	ARG4	PMID:12603335|SGD_REF:S000073096|PMID:11553611|SGD_REF:S000066207
arginine biosynthesis	Argininosuccinate synthase	6.3.4.5	ARG1	PMID:12603335|SGD_REF:S000073096|PMID:11553611|SGD_REF:S000066207
arginine biosynthesis	Ornithine carbamoyltransferase	2.1.3.3	ARG3	PMID:12603335|SGD_REF:S000073096|PMID:11553611|SGD_REF:S000066207
arginine degradation (aerobic)	arginine degradation (anaerobic) (Pathway)			
arginine degradation (aerobic)	proline utilization (Pathway)			
arginine degradation (anaerobic)	Arginase	3.5.3.1	CAR1	PMID:12620851|SGD_REF:S000072637
arginine degradation (anaerobic)	Ornithine--oxo-acid aminotransferase	2.6.1.13	CAR2	PMID:12620851|SGD_REF:S000072637
arginine degradation (anaerobic)	Pyrroline-5-carboxylate reductase	1.5.1.2	PRO3	PMID:12620851|SGD_REF:S000072637
asparagine biosynthesis	Asparagine synthase (glutamine-hydrolysing)	6.3.5.4	ASN1	SGD_REF:S000070200
asparagine biosynthesis	Asparagine synthase (glutamine-hydrolysing)	6.3.5.4	ASN2	SGD_REF:S000070200
asparagine biosynthesis	Aspartate aminotransferase	2.6.1.1	AAT1	SGD_REF:S000070200
asparagine biosynthesis	Aspartate aminotransferase	2.6.1.1	AAT2	SGD_REF:S000070200
asparagine degradation	Asparaginase	3.5.1.1	ASP1	PMID:10640599|SGD_REF:S000061758|SGD_REF:S000070200
asparagine degradation	Asparaginase	3.5.1.1	ASP3-1	PMID:10640599|SGD_REF:S000061758|SGD_REF:S000070200
asparagine degradation	Asparaginase	3.5.1.1	ASP3-2	PMID:10640599|SGD_REF:S000061758|SGD_REF:S000070200
asparagine degradation	Asparaginase	3.5.1.1	ASP3-3	PMID:10640599|SGD_REF:S000061758|SGD_REF:S000070200
asparagine degradation	Asparaginase	3.5.1.1	ASP3-4	PMID:10640599|SGD_REF:S000061758|SGD_REF:S000070200
